gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
ZNF589,51385,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF589,51385,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF589,51385,,5 Gy,γ-rays,T-lymphoid cell line,6 h
IER5,51278,,5 Gy,γ-rays,T-lymphoid cell line,12 h
IER5,51278,,5 Gy,γ-rays,T-lymphoid cell line,24 h
IER5,51278,,5 Gy,γ-rays,T-lymphoid cell line,3 h
IER5,51278,,5 Gy,γ-rays,T-lymphoid cell line,48 h
IER5,51278,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PACSIN1,29993,,9 Gy,protons,TNBC cell line,24 h
SERTAD1,29950,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SERTAD1,29950,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SERTAD1,29950,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SERTAD1,29950,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SERTAD1,29950,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PHPT1,29085,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PHPT1,29085,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PHPT1,29085,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PHPT1,29085,,5 Gy,γ-rays,T-lymphoid cell line,6 h
LHX6,26468,,9 Gy,protons,TNBC cell line,24 h
ZBTB20,26137,,9 Gy,protons,breast adenocarcinoma cells,24 h
ZNF500,26048,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF500,26048,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF500,26048,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF500,26048,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF500,26048,,5 Gy,γ-rays,T-lymphoid cell line,6 h
OSBPL3,26031,,5 Gy,γ-rays,T-lymphoid cell line,12 h
OSBPL3,26031,,5 Gy,γ-rays,T-lymphoid cell line,24 h
OSBPL3,26031,,5 Gy,γ-rays,T-lymphoid cell line,48 h
OSBPL3,26031,,5 Gy,γ-rays,T-lymphoid cell line,6 h
NSMF,26012,,5 Gy,γ-rays,T-lymphoid cell line,12 h
NSMF,26012,,5 Gy,γ-rays,T-lymphoid cell line,24 h
NSMF,26012,,5 Gy,γ-rays,T-lymphoid cell line,3 h
NSMF,26012,,5 Gy,γ-rays,T-lymphoid cell line,48 h
NSMF,26012,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SNED1,25992,,9 Gy,protons,breast adenocarcinoma cells,24 h
USP49,25862,,5 Gy,γ-rays,T-lymphoid cell line,12 h
USP49,25862,,5 Gy,γ-rays,T-lymphoid cell line,24 h
USP49,25862,,5 Gy,γ-rays,T-lymphoid cell line,3 h
USP49,25862,,5 Gy,γ-rays,T-lymphoid cell line,48 h
USP49,25862,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FBXL2,25827,,5 Gy,γ-rays,T-lymphoid cell line,12 h
FBXL2,25827,,5 Gy,γ-rays,T-lymphoid cell line,24 h
FBXL2,25827,,5 Gy,γ-rays,T-lymphoid cell line,48 h
KIAA1549L,25758,,9 Gy,protons,TNBC cell line,24 h
OSBP2,23762,,9 Gy,protons,TNBC cell line,24 h
PHLDA3,23612,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PHLDA3,23612,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PHLDA3,23612,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PHLDA3,23612,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PHLDA3,23612,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TTC9,23508,,9 Gy,protons,TNBC cell line,24 h
NOMO1,23420,,5 Gy,γ-rays,T-lymphoid cell line,12 h
NOMO1,23420,,5 Gy,γ-rays,T-lymphoid cell line,24 h
NOMO1,23420,,5 Gy,γ-rays,T-lymphoid cell line,3 h
NOMO1,23420,,5 Gy,γ-rays,T-lymphoid cell line,48 h
NOMO1,23420,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MINAR1,23251,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MINAR1,23251,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MINAR1,23251,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MINAR1,23251,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MINAR1,23251,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ASTN2,23245,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ASTN2,23245,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ASTN2,23245,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ASTN2,23245,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CUL9,23113,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CUL9,23113,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CUL9,23113,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF423,23090,,9 Gy,protons,breast adenocarcinoma cells,24 h
CAND2,23066,,9 Gy,protons,TNBC cell line,24 h
GOLGA8A,23015,,9 Gy,protons,TNBC cell line,24 h
CEP152,22995,,9 Gy,protons,breast adenocarcinoma cells,24 h
PCNX1,22990,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PCNX1,22990,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PCNX1,22990,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZP1,22917,,9 Gy,protons,TNBC cell line,24 h
ZNF652,22834,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF652,22834,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF652,22834,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF652,22834,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF652,22834,,5 Gy,γ-rays,T-lymphoid cell line,6 h
AKAP10,11216,,5 Gy,γ-rays,T-lymphoid cell line,12 h
AKAP10,11216,,5 Gy,γ-rays,T-lymphoid cell line,24 h
AKAP10,11216,,5 Gy,γ-rays,T-lymphoid cell line,3 h
AKAP10,11216,,5 Gy,γ-rays,T-lymphoid cell line,48 h
AKAP10,11216,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DMC1,11144,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DMC1,11144,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DMC1,11144,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DMC1,11144,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DMC1,11144,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CNTRL,11064,,9 Gy,protons,breast adenocarcinoma cells,24 h
ASCC3,10973,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ASCC3,10973,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ASCC3,10973,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ASCC3,10973,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACTL7B,10880,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ACTL7B,10880,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ACTL7B,10880,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ACTL7B,10880,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CCT8,10694,,9 Gy,protons,TNBC cell line,24 h
TSBP1,10665,,9 Gy,protons,TNBC cell line,24 h
ENOX2,10495,,9 Gy,protons,TNBC cell line,24 h
TRIM22,10346,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TRIM22,10346,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TRIM22,10346,,5 Gy,γ-rays,T-lymphoid cell line,3 h
TRIM22,10346,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TRIM22,10346,,5 Gy,γ-rays,T-lymphoid cell line,6 h
LHFPL6,10186,,9 Gy,protons,breast adenocarcinoma cells,24 h
LHFPL2,10184,,9 Gy,protons,breast adenocarcinoma cells,24 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SRA1,10011,,5 Gy,γ-rays,T-lymphoid cell line,6 h
EXOG,9941,,5 Gy,γ-rays,T-lymphoid cell line,12 h
EXOG,9941,,5 Gy,γ-rays,T-lymphoid cell line,24 h
EXOG,9941,,5 Gy,γ-rays,T-lymphoid cell line,3 h
EXOG,9941,,5 Gy,γ-rays,T-lymphoid cell line,48 h
EXOG,9941,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SUSD6,9766,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SUSD6,9766,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SUSD6,9766,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SUSD6,9766,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TBX4,9496,,9 Gy,protons,breast adenocarcinoma cells,24 h
KCNK6,9424,,5 Gy,γ-rays,T-lymphoid cell line,12 h
KCNK6,9424,,5 Gy,γ-rays,T-lymphoid cell line,24 h
KCNK6,9424,,5 Gy,γ-rays,T-lymphoid cell line,3 h
KCNK6,9424,,5 Gy,γ-rays,T-lymphoid cell line,48 h
KCNK6,9424,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF235,9310,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF235,9310,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF235,9310,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF235,9310,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF235,9310,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MFHAS1,9258,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MFHAS1,9258,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MFHAS1,9258,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MFHAS1,9258,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MFHAS1,9258,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DCLK1,9201,,9 Gy,protons,breast adenocarcinoma cells,24 h
TBX19,9095,,9 Gy,protons,TNBC cell line,24 h
SLC7A6,9057,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SLC7A6,9057,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SLC7A6,9057,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SLC7A6,9057,,5 Gy,γ-rays,T-lymphoid cell line,6 h
IER3,8870,,5 Gy,γ-rays,T-lymphoid cell line,12 h
IER3,8870,,5 Gy,γ-rays,T-lymphoid cell line,24 h
IER3,8870,,5 Gy,γ-rays,T-lymphoid cell line,3 h
IER3,8870,,5 Gy,γ-rays,T-lymphoid cell line,48 h
IER3,8870,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ADAM7,8756,,9 Gy,protons,breast adenocarcinoma cells,24 h
RGS20,8601,,9 Gy,protons,breast adenocarcinoma cells,24 h
LY6D,8581,,9 Gy,protons,breast adenocarcinoma cells,24 h
DENR,8562,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DENR,8562,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DENR,8562,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DENR,8562,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DENR,8562,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ENC1,8507,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ENC1,8507,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ENC1,8507,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ENC1,8507,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ENC1,8507,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FKBP6,8468,,9 Gy,protons,breast adenocarcinoma cells,24 h
CMAHP,8418,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CMAHP,8418,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CMAHP,8418,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CMAHP,8418,,5 Gy,γ-rays,T-lymphoid cell line,6 h
EPM2A,7957,,9 Gy,protons,TNBC cell line,24 h
ZNF165,7718,,8 Gy,X-rays,pancreatic cancer cell line,4 h
ZNF165,7718,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF165,7718,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF165,7718,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF165,7718,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF165,7718,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF37A,7587,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF37A,7587,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF37A,7587,,5 Gy,γ-rays,T-lymphoid cell line,48 h
XG,7499,,9 Gy,protons,breast adenocarcinoma cells,24 h
USH2A,7399,,9 Gy,protons,TNBC cell line,24 h
TM4SF4,7104,,9 Gy,protons,breast adenocarcinoma cells,24 h
TGM4,7047,,9 Gy,protons,TNBC cell line,24 h
SORL1,6653,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SORL1,6653,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SORL1,6653,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SORL1,6653,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SORL1,6653,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SNAPC1,6617,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SNAPC1,6617,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SNAPC1,6617,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SNAPC1,6617,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SNAPC1,6617,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ATXN7,6314,,9 Gy,protons,TNBC cell line,24 h
RSC1A1,6248,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RSC1A1,6248,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RSC1A1,6248,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RSC1A1,6248,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RSC1A1,6248,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RRAD,6236,,8 Gy,X-rays,pancreatic cancer cell line,4 h
RGS12,6002,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RGS12,6002,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RGS12,6002,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RGS12,6002,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RBM3,5935,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RBM3,5935,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RBM3,5935,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RBM3,5935,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RBM3,5935,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MOK,5891,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MOK,5891,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MOK,5891,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MOK,5891,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MOK,5891,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RAB3B,5865,,9 Gy,protons,TNBC cell line,24 h
PTMA,5757,,9 Gy,protons,TNBC cell line,24 h
PRKY,5616,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PRKY,5616,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PRKY,5616,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PRKY,5616,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PRKY,5616,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PRKX,5613,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PRKX,5613,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PRKX,5613,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PRKX,5613,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PRKX,5613,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PLP1,5354,,9 Gy,protons,TNBC cell line,24 h
NKG7,4818,,9 Gy,protons,breast adenocarcinoma cells,24 h
MATN3,4148,,9 Gy,protons,TNBC cell line,24 h
MAK,4117,,9 Gy,protons,TNBC cell line,24 h
MAGEA8,4107,,9 Gy,protons,breast adenocarcinoma cells,24 h
JCHAIN,3512,,0.5 Gy,γ-rays,immortalized B lymphocytes,24 h
JCHAIN,3512,,3 Gy,γ-rays,immortalized B lymphocytes,24 h
JCHAIN,3512,,8 Gy,γ-rays,immortalized B lymphocytes,24 h
GFRA2,2675,,9 Gy,protons,breast adenocarcinoma cells,24 h
GEM,2669,,8 Gy,X-rays,pancreatic cancer cell line,4 h
EN1,2019,,9 Gy,protons,TNBC cell line,24 h
EGR4,1961,,8 Gy,X-rays,pancreatic cancer cell line,4 h
CYP4B1,1580,,9 Gy,protons,breast adenocarcinoma cells,24 h
CSPG4,1464,,9 Gy,protons,TNBC cell line,24 h
KLF6,1316,,8 Gy,X-rays,pancreatic cancer cell line,4 h
KLF6,1316,,9 Gy,protons,breast adenocarcinoma cells,24 h
CNN1,1264,,8 Gy,X-rays,pancreatic cancer cell line,4 h
CNN1,1264,,9 Gy,protons,TNBC cell line,24 h
CDH9,1007,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CDH9,1007,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CDH9,1007,,5 Gy,γ-rays,T-lymphoid cell line,3 h
CDH9,1007,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CDH9,1007,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SIGLEC6,946,,9 Gy,protons,TNBC cell line,24 h
CALB2,794,,9 Gy,protons,TNBC cell line,24 h
PRDM1,639,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PRDM1,639,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PRDM1,639,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PRDM1,639,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CEACAM1,634,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CEACAM1,634,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CEACAM1,634,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CEACAM1,634,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ATF3,467,,8 Gy,X-rays,pancreatic cancer cell line,4 h
ATF3,467,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ATF3,467,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ATF3,467,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ATF3,467,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ATF3,467,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RND3,390,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RND3,390,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RND3,390,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RND3,390,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RND3,390,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ANXA1,301,,9 Gy,protons,breast adenocarcinoma cells,24 h
ACR,49,,9 Gy,protons,TNBC cell line,24 h
